id,title,source,tier,slug,format,filename,subject,has_override
1,Cake (It's Not a Lie This Time),Portal / Portal 2,Rare,cake_it_s_not_a_lie_this_time,flux,001_cake_it_s_not_a_lie_this_time_flux.txt,a decorated Black Forest chocolate cake with frosting writing,yes
2,Companion Cube Remains,Portal / Portal 2,Legendary,companion_cube_remains,flux,002_companion_cube_remains_flux.txt,a cracked and damaged Weighted Companion Cube from Portal,yes
3,The Eye of Jupiter,Battlestar Galactica,Legendary,the_eye_of_jupiter,flux,003_the_eye_of_jupiter_flux.txt,a glowing mystical eye artifact with radiating light,yes
4,Admiral Adama's Gravel Voice,Battlestar Galactica,Why did you do this,admiral_adama_s_gravel_voice,flux,004_admiral_adama_s_gravel_voice_flux.txt,a vintage reel-to-reel tape recorder,yes
5,The Blue Pill,The Matrix,Common,the_blue_pill,flux,005_the_blue_pill_flux.txt,a small blue pill capsule,yes
6,Spoon (There Is No),The Matrix,Common,spoon_there_is_no,flux,006_spoon_there_is_no_flux.txt,a bent spoon with warped metallic reflections,yes
7,Master Chief's Helmet (Cracked Visor),Halo,Legendary,master_chief_s_helmet_cracked_visor,flux,007_master_chief_s_helmet_cracked_visor_flux.txt,Master Chief's MJOLNIR helmet with a cracked visor,yes
8,Warthog Hood Ornament,Halo,Common,warthog_hood_ornament,flux,008_warthog_hood_ornament_flux.txt,"a military Warthog vehicle hood ornament, rugged metal",yes
9,ODST Drop Pod Stress Ball,Halo,Common,odst_drop_pod_stress_ball,flux,009_odst_drop_pod_stress_ball_flux.txt,a small cylindrical drop pod stress ball with scorch marks,yes
10,T-800 Endoskeleton Thumb,Terminator,Legendary,t_800_endoskeleton_thumb,flux,010_t_800_endoskeleton_thumb_flux.txt,"a robotic T-800 endoskeleton thumb giving a thumbs up, chrome metal",yes
12,Cyberdyne Systems Employee Badge,Terminator,Common,cyberdyne_systems_employee_badge,flux,012_cyberdyne_systems_employee_badge_flux.txt,a retro corporate employee ID badge with Cyberdyne Systems logo,yes
13,Skynet's First Thought,Terminator,Why did you do this,skynet_s_first_thought,flux,013_skynet_s_first_thought_flux.txt,"a glowing microchip on a circuit board, ominous red light",yes
14,Hasta La Vista Baby Button,Terminator,Common,hasta_la_vista_baby_button,flux,014_hasta_la_vista_baby_button_flux.txt,a large red arcade-style push button,yes
