ID,Title,Source,Tier,Description,Mod1,Stat1,Mod2,Stat2,Mod3,Stat3
1,Cake (It's Not a Lie This Time),Portal / Portal 2,Rare,GLaDOS promised you cake and for ONCE she wasn't lying. It's a Black Forest gateau with 'Massive Mistake' written in frosting. It tastes like testing and regret. You eat all of it anyway.,5,Morale (temporary),-10,"Morale (permanent, after realizing what you just ate)",,
2,Companion Cube Remains,Portal / Portal 2,Legendary,You euthanized it. YOU EUTHANIZED IT. The Enrichment Center assures you it felt nothing. The Enrichment Center is lying. You know it felt everything. You monster.,4,"Security (emotional walls are now literal walls), +? Guilt",,,,
3,The Eye of Jupiter,Battlestar Galactica,Legendary,A sacred artifact sought by both humans and Cylons. It led to a planet. That planet was a trap. But it looked AMAZING. You have earned the right to dramatically stare into the middle distance.,5,Resolution,3,Mystique,-2,Practicality (it was a whole thing)
4,Admiral Adama's Gravel Voice,Battlestar Galactica,0-Day,"This is a recording. Two hours of a gruff space admiral growling 'so... say... we... all' at various tempos. Your badge will play it at random. Your neighbors will not enjoy this. Neither will you, eventually.",1,Intimidation,-4,Battery Life,-3,Social Skills (everyone leaves the room)
5,The Blue Pill,The Matrix,Common,"You chose blissful ignorance. Smart, honestly. The other con-goers look happy. You look happy. None of you are hacking anything. You're having a great time. Was that the goal? Maybe that was the goal.",5,Happiness (ignorance-based),-5,all hacking stats (you don't even know what hacking is),,
6,Spoon (There Is No),The Matrix,Common,There is no spoon. There is also no soup. Or bowl. Or lunch. The child was trying to tell you something profound and all you got was hunger and mild confusion. Try bending reality instead. It's free.,2,Training (philosophical XP),-1,Malware (you're overthinking the attack),,
7,Master Chief's Helmet (Cracked Visor),Halo,Legendary,"Wear it. You can't. Your head isn't that big and the suit weighs half a ton. But the VISOR CRACK tells the story of seventeen firefights, one Covenant cruiser, and one very bad day on Installation 04. Hoo-rah, demon.",5,Security,3,Malware,-1,Agility (MJOLNIR armor is not designed for sitting at packet capture stations)
8,Warthog Hood Ornament,Halo,Common,It launched Sergeant Johnson forty meters when hit by a Banshee. It has seen things. The hood ornament alone has more combat experience than you. Respect the ornament.,2,Training (vehicle operation XP),1,Morale (vroom noises optional),,
9,ODST Drop Pod Stress Ball,Halo,Common,"Helljumpers drop from orbit. In pods. On purpose. This is a recreation of that pod, scaled down, squeezable, smells faintly of PTSD. The ODST motto is 'Feet First Into Hell.' Your motto is 'I'll check my email first.'",2,"Security (they're tough, some rubbed off)",1,"Courage (minimal, situational)",,
10,T-800 Endoskeleton Thumb,Terminator,Legendary,Thumbs up from beyond the lava. He chose to die so John Connor could live. You chose to attend DEFCON so you could... network? The sacrifices we make. The thumb is surprisingly warm. Do not think about why.,5,Security (he protected John with his life),3,Intimidation,-1,Malware (he went good-guy mode)
